cod_dep,departamento,codigo,municipio,Ranking de la Gestión Municipal 2013,Ranking de la Gestión Municipal 2016,Ranking de la Gestión Municipal 2018,Tendencia
9,Quetzaltenango,909,San Juan Ostuncalco,"0,3586","0,3241","0,4038",
22,Jutiapa,2210,Zapotitlán,"0,4210","0,3269","0,4037",
8,Totonicapán,808,San Bartolo Aguas Calientes,"0,4205","0,2538","0,4033",
6,Santa Rosa,602,Barberena,"0,4699","0,4428","0,4032",
13,Huehuetenango,1304,Cuilco,"0,2268","0,3170","0,4013",
10,Suchitepéquez,1010,San Antonio Suchitepéquez,"0,2498","0,2008","0,4008",
18,Izabal,1801,Puerto Barrios,"0,5387","0,2408","0,4005",
20,Chiquimula,2001,Chiquimula,"0,4198","0,1300","0,4003",
17,Petén,1709,San Luis,"0,3427","0,2828","0,4000",
3,Sacatepéquez,313,San Miguel Dueñas,"0,4373","0,2989","0,3991",
11,Retalhuleu,1107,Champerico,"0,3240","0,3021","0,3988",
4,Chimaltenango,408,San Miguel Pochuta,"0,2881","0,3028","0,3964",
1,Guatemala,110,San Juan Sacatepéquez,"0,1674","0,2857","0,3938",
11,Retalhuleu,1103,Santa Cruz Muluá,"0,2341","0,2842","0,3924",
17,Petén,1701,Flores,"0,3956","0,2804","0,3885",
21,Jalapa,2104,San Manuel Chaparrón,"0,3258","0,2253","0,3875",
3,Sacatepéquez,302,Jocotenango,"0,3992","0,3131","0,3870",
16,Alta Verapaz,1612,Santa María Cahabón,"0,2623","0,2537","0,3865",
11,Retalhuleu,1104,San Martín Zapotitlán,"0,1297","0,2472","0,3855",
8,Totonicapán,804,San Andrés Xecul,"0,3844","0,1907","0,3842",
12,San Marcos,1220,El Quetzal,"0,1153","0,4648","0,3842",
15,Baja Verapaz,1504,Cubulco,"0,3451","0,2279","0,3823",
12,San Marcos,1217,Ayutla,"0,4271","0,3321","0,3822",
7,Sololá,706,Santa Catarina Ixtahuacán,"0,2027","0,3177","0,3802",
2,El Progreso,203,San Agustín Acasaguastlán,"0,2688","0,2500","0,3798",
3,Sacatepéquez,310,Magdalena Milpas Altas,"0,4938","0,1889","0,3793",
5,Escuintla,502,Santa Lucía Cotzulmalguapa,"0,2596","0,3374","0,3793",
1,Guatemala,104,San José del Golfo,"0,3496","0,3901","0,3784",
17,Petén,1708,Dolores,"0,3009","0,2392","0,3784",
14,Quiché,1406,Chichicastenango,"0,3060","0,3800","0,3782",
16,Alta Verapaz,1603,San Cristóbal Verapaz,"0,4357","0,4638","0,3772",
4,Chimaltenango,404,San Juan Comalapa,"0,3795","0,3708","0,3771",
10,Suchitepéquez,1001,Mazatenango,"0,2829","0,1866","0,3765",
20,Chiquimula,2008,Concepción las Minas,"0,2633","0,1553","0,3765",
15,Baja Verapaz,1503,Rabinal,"0,3850","0,3927","0,3764",
5,Escuintla,503,La Democracia,"0,2041","0,1954","0,3754",
10,Suchitepéquez,1002,Cuyotenango,"0,1759","0,1675","0,3753",
9,Quetzaltenango,904,San Carlos Sija,"0,3233","0,1746","0,3751",
6,Santa Rosa,613,Pueblo Nuevo Viñas,"0,2482","0,2027","0,3746",
9,Quetzaltenango,918,San Francisco La Unión,"0,2975","0,0742","0,3739",
16,Alta Verapaz,1613,Chisec,"0,4828","0,3126","0,3737",
19,Zacapa,1904,Gualán,"0,3102","0,2709","0,3731",
10,Suchitepéquez,1013,Chicacao,"0,2343","0,1688","0,3730",
16,Alta Verapaz,1608,Senahú,"0,1331","0,2994","0,3720",
14,Quiché,1404,Zacualpa,"0,0566","0,2560","0,3718",
10,Suchitepéquez,1008,Samayac,"0,1765","0,1772","0,3693",
19,Zacapa,1909,La Unión,"0,3434","0,2557","0,3678",
20,Chiquimula,2009,Quezaltepeque,"0,3545","0,1512","0,3674",
11,Retalhuleu,1106,San Andrés Villa Seca,"0,1374","0,2716","0,3673",
1,Guatemala,111,San Raymundo,"0,3842","0,3009","0,3667",
21,Jalapa,2103,San Luis Jilotepeque,"0,3631","0,3117","0,3637",
22,Jutiapa,2208,Jerez,"0,3590","0,2341","0,3628",
12,San Marcos,1219,San Pablo,"0,2133","0,2392","0,3612",
10,Suchitepéquez,1021,San José La Máquina,,"0,2962","0,3601",
13,Huehuetenango,1309,San Idelfonso Ixtahuacán,"0,1940","0,2507","0,3596",
22,Jutiapa,2212,Jalpatagua,"0,1754","0,3732","0,3579",
10,Suchitepéquez,1020,Río Bravo,"0,3056","0,2985","0,3542",
12,San Marcos,1216,Catarina,"0,2042","0,3372","0,3539",
13,Huehuetenango,1325,San Sebastián Coatán,"0,2318","0,2857","0,3508",
22,Jutiapa,2217,Quesada,"0,3106","0,3305","0,3506",
1,Guatemala,107,San Pedro Ayampuc,"0,3157","0,3375","0,3504",
13,Huehuetenango,1305,Nentón,"0,1264","0,1683","0,3494",
22,Jutiapa,2204,Agua Blanca,"0,4617","0,2405","0,3490",
6,Santa Rosa,612,Santa Cruz Naranjo,"0,3995","0,2966","0,3485",
15,Baja Verapaz,1502,San Miguel Chicaj,"0,4156","0,3485","0,3471",
18,Izabal,1802,Livingston,"0,2317","0,1423","0,3470",
10,Suchitepéquez,1016,San Juan Bautista,"0,3831","0,2859","0,3457",
12,San Marcos,1229,San Lorenzo,"0,3181","0,2458","0,3438",
5,Escuintla,507,La Gomera,"0,4902","0,2084","0,3429",
4,Chimaltenango,416,El Tejar,"0,3813","0,2033","0,3413",
16,Alta Verapaz,1605,Tamahú,"0,3477","0,3257","0,3406",
7,Sololá,719,Santiago Atitlán,"0,2772","0,2695","0,3397",
12,San Marcos,1212,Nuevo Progreso,"0,1649","0,1837","0,3397",
15,Baja Verapaz,1505,Granados,"0,3677","0,3620","0,3393",
9,Quetzaltenango,906,Cabricán,"0,3321","0,2696","0,3387",
12,San Marcos,1215,Malacatán,"0,2523","0,3097","0,3384",
10,Suchitepéquez,1011,San Miguel Panán,"0,2336","0,1556","0,3383",
7,Sololá,701,Sololá,"0,5404","0,3787","0,3380",
22,Jutiapa,2213,Conguaco,"0,2339","0,3712","0,3342",
10,Suchitepéquez,1003,San Francisco Zapotitlán,"0,2047","0,0938","0,3331",
13,Huehuetenango,1316,San Juan Atitán,"0,2130","0,2020","0,3325",
6,Santa Rosa,604,Casillas,"0,3684","0,3696","0,3293",
13,Huehuetenango,1329,San Gaspar Ixchil,"0,2593","0,3057","0,3270",
5,Escuintla,513,Nueva Concepción,"0,2287","0,1588","0,3255",
13,Huehuetenango,1312,La Democracia,"0,1903","0,2104","0,3240",
9,Quetzaltenango,912,San Martín Sacatepéquez,"0,3448","0,1855","0,3233",
10,Suchitepéquez,1017,Santo Tomas La Unión,"0,1902","0,1319","0,3206",
22,Jutiapa,2207,Atescatempa,"0,4195","0,2900","0,3202",
7,Sololá,709,San Andrés Semetabaj,"0,4751","0,3471","0,3165",
19,Zacapa,1907,Cabañas,"0,3229","0,2388","0,3152",
13,Huehuetenango,1319,Colotenango,"0,2627","0,2405","0,3148",
7,Sololá,713,San Lucas Tolimán,"0,3165","0,3233","0,3123",
17,Petén,1706,San Francisco,"0,1918","0,2258","0,3120",
4,Chimaltenango,406,Tecpán Guatemala,"0,2870","0,2333","0,3108",
3,Sacatepéquez,314,Alotenango,"0,2084","0,1764","0,3102",
13,Huehuetenango,1327,Aguacatán,"0,4253","0,2188","0,3092",
16,Alta Verapaz,1616,Santa Catalina La Tinta,"0,2525","0,4419","0,3089",
8,Totonicapán,807,Santa Lucía La Reforma,"0,2909","0,1390","0,3041",
19,Zacapa,1905,Teculután,"0,4473","0,2904","0,3040",
17,Petén,1707,Santa Ana,"0,0594","0,3071","0,3036",
13,Huehuetenango,1306,San Pedro Necta,"0,2964","0,2295","0,3035",
13,Huehuetenango,1324,San Antonio Huista,"0,2863","0,2570","0,3031",
13,Huehuetenango,1322,Concepción Huista,"0,2659","0,3529","0,3014",
3,Sacatepéquez,315,San Antonio Aguas Calientes,"0,4591","0,2941","0,2966",
22,Jutiapa,2205,Asunción Mita,"0,2672","0,1186","0,2963",
14,Quiché,1418,Canillá,"0,3442","0,2984","0,2953",
11,Retalhuleu,1102,San Sebastián,"0,3859","0,3239","0,2951",
7,Sololá,704,Santa Lucía Utatlán,"0,3858","0,2815","0,2949",
5,Escuintla,512,San Vicente Pacaya,"0,2454","0,2960","0,2945",
6,Santa Rosa,611,Guazacapán,"0,2635","0,2299","0,2945",
14,Quiché,1419,Chicamán,"0,3733","0,2369","0,2945",
14,Quiché,1412,Joyabaj,"0,2333","0,2729","0,2940",
14,Quiché,1420,Ixcán,"0,2996","0,3954","0,2933",
9,Quetzaltenango,922,Flores Costa Cuca,"0,2546","0,2920","0,2932",
10,Suchitepéquez,1004,San Bernardino,"0,2224","0,1418","0,2929",
22,Jutiapa,2215,Pasaco,"0,3762","0,0564","0,2897",
17,Petén,1713,Las Cruces,"0,2101","0,1648","0,2893",
13,Huehuetenango,1326,Barillas,"0,1998","0,2225","0,2878",
8,Totonicapán,806,Santa María Chiquimula,"0,2188","0,2037","0,2842",
22,Jutiapa,2211,Comapa,"0,1810","0,1471","0,2840",
12,San Marcos,1214,El Rodeo,"0,3533","0,3206","0,2826",
4,Chimaltenango,402,San José Poaquil,"0,3307","0,2910","0,2818",
9,Quetzaltenango,916,Zunil,"0,2403","0,2640","0,2800",
10,Suchitepéquez,1007,San Lorenzo,"0,1111","0,1793","0,2796",
13,Huehuetenango,1332,Unión Cantinil,"0,3396","0,2806","0,2766",
2,El Progreso,207,Sanarate,"0,2804","0,1660","0,2756",
13,Huehuetenango,1331,Santa Ana Huista,"0,1998","0,2695","0,2749",
4,Chimaltenango,414,Parramos,"0,4009","0,2663","0,2712",
11,Retalhuleu,1105,San Felipe Retalhuleu,"0,1697","0,2728","0,2703",
9,Quetzaltenango,907,Cajolá,"0,1659","0,1450","0,2672",
3,Sacatepéquez,311,Santa María de Jesús,"0,3983","0,3196","0,2668",
17,Petén,1711,Melchor de Mencos,"0,3953","0,2414","0,2647",
14,Quiché,1410,Cunén,"0,4109","0,2373","0,2630",
14,Quiché,1407,Patzité,"0,3525","0,2924","0,2629",
13,Huehuetenango,1318,San Mateo Ixtatán,"0,3154","0,2441","0,2598",
4,Chimaltenango,409,Patzicía,"0,1673","0,2592","0,2596",
7,Sololá,705,Nahualá,"0,4282","0,2410","0,2576",
13,Huehuetenango,1313,San Miguel Acatán,"0,2858","0,2387","0,2555",
13,Huehuetenango,1314,San Rafael La Independencia,"0,2636","0,1760","0,2547",
7,Sololá,702,San José Chacayá,"0,4935","0,2743","0,2485",
18,Izabal,1805,Los Amates,"0,2826","0,2758","0,2479",
2,El Progreso,202,Morazán,"0,3369","0,0955","0,2454",
3,Sacatepéquez,304,Sumpango,"0,3878","0,3555","0,2450",
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,"0,2934","0,2405","0,2435",
14,Quiché,1409,San Pedro Jocopilas,"0,0485","0,1215","0,2420",
13,Huehuetenango,1317,Santa Eulalia,"0,2234","0,2341","0,2401",
13,Huehuetenango,1321,Tectitán,"0,2009","0,2099","0,2396",
13,Huehuetenango,1330,Santiago Chimaltenango,"0,2981","0,2163","0,2396",
9,Quetzaltenango,919,El Palmar,"0,3438","0,3129","0,2373",
13,Huehuetenango,1301,Huehuetenango,"0,3759","0,3900","0,2356",
7,Sololá,717,San Juan La Laguna,"0,4250","0,2786","0,2335",
7,Sololá,710,Panajachel,"0,4434","0,2883","0,2328",
21,Jalapa,2102,San Pedro Pinula,"0,2378","0,1690","0,2293",
5,Escuintla,506,Tiquisate,"0,3107","0,2889","0,2290",
11,Retalhuleu,1109,El Asintal,"0,2178","0,2427","0,2289",
11,Retalhuleu,1101,Retalhuleu,"0,3426","0,2241","0,2275",
19,Zacapa,1908,San Diego,"0,2926","0,3255","0,2261",
14,Quiché,1416,Sacapulas,"0,2605","0,3570","0,2257",
5,Escuintla,504,Siquinalá,"0,4508","0,3218","0,2245",
7,Sololá,708,Concepción,"0,3314","0,2021","0,2167",
13,Huehuetenango,1315,Todos Santos Cuchumatán,"0,3850","0,1541","0,2167",
8,Totonicapán,805,Momostenango,"0,5178","0,2678","0,2156",
10,Suchitepéquez,1009,San Pablo Jocopilas,"0,2846","0,0692","0,2141",
13,Huehuetenango,1311,La Libertad,"0,2181","0,0829","0,2141",
14,Quiché,1402,Chiché,"0,1695","0,2215","0,2129",
14,Quiché,1415,San Miguel Uspantán,"0,5166","0,2398","0,2129",
7,Sololá,712,San Antonio Palopó,"0,3888","0,2420","0,2127",
17,Petén,1705,La Libertad,"0,4083","0,3312","0,2124",
13,Huehuetenango,1320,San Sebastián Huehuetenango,"0,2325","0,1254","0,2077",
10,Suchitepéquez,1005,San José El Ídolo,"0,2791","0,1947","0,2043",
14,Quiché,1403,Chinique,"0,3756","0,1523","0,2017",
12,San Marcos,1226,Sipacapa,"0,2524","0,2397","0,1985",
14,Quiché,1405,Chajul,"0,2006","0,2047","0,1937",
5,Escuintla,501,Escuintla,"0,4266","0,1873","0,1921",
12,San Marcos,1221,La Reforma,"0,2530","0,1478","0,1921",
10,Suchitepéquez,1019,Pueblo Nuevo,"0,2433","0,2012","0,1869",
10,Suchitepéquez,1014,Patulul,"0,2082","0,1770","0,1867",
12,San Marcos,1228,Río Blanco,"0,2685","0,2637","0,1782",
12,San Marcos,1213,El Tumbador,"0,4153","0,1962","0,1778",
7,Sololá,715,San Pablo La Laguna,"0,3314","0,2006","0,1762",
16,Alta Verapaz,1611,San Agustín Lanquín,"0,1441","0,2326","0,1697",
13,Huehuetenango,1328,San Rafael Pétzal,"0,1366","0,1593","0,1686",
7,Sololá,711,Santa Catarina Palopó,"0,2933","0,3383","0,1665",
13,Huehuetenango,1323,San Juan Ixcoy,"0,3432","0,1198","0,1632",
4,Chimaltenango,413,San Andrés Itzapa,"0,3165","0,2755","0,1625",
7,Sololá,714,Santa Cruz La Laguna,"0,3224","0,2123","0,1577",
13,Huehuetenango,1310,Santa Bárbara,"0,2565","0,1887","0,1552",
12,San Marcos,1222,Pajapita,"0,1438","0,1591","0,1541",
9,Quetzaltenango,913,Almolonga,"0,2967","0,1081","0,1531",
14,Quiché,1414,San Andrés Sajcabajá,"0,3727","0,3041","0,1489",
14,Quiché,1417,San Bartolomé Jocotenango,"0,2417","0,1064","0,1424",
10,Suchitepéquez,1012,San Gabriel,"0,2809","0,1524","0,1374",
17,Petén,1702,San José,"0,2137","0,0495","0,1277",
12,San Marcos,1224,San José Ojetenam,"0,1652","0,2397","0,1226",
9,Quetzaltenango,908,San Miguel Sigüila,"0,3013","0,0717","0,1218",
